objectname,RA,DEC,prob,period,comper,Type,SNR1,SNR2,sector
TIC 442567883,236.887519,-33.390918,0.8227042,0.6260621832348712,0.3130310916174356,EA,3.2955456921638384,25.185566896255327,"[12, 38]"
TIC 326911465,270.74321923335,-40.744226784809,0.8226843,0.4722730860688236,0.4722730860688236,ROT,3.0610645993549306,3.042930470603918,[39]
TIC 270558473,100.012049895328,-80.8135942070524,0.82264,0.232205941668922,0.232205941668922,ROT,2.2294818752314125,0.8847735849345263,"[34, 39]"
TIC 92872284,83.0916634304434,-22.0693129597633,0.82262087,0.3324404869485877,0.1662202434742938,ROT,1.2891581247502035,4.984066499714257,[32]
TIC 50618578,82.312215,-0.169732,0.8226208,0.4015615262759338,0.4015615262759338,ROT,2.1193597846872287,1.78186064981927,[6]
TIC 38459686,60.9544018530415,-61.0559038845854,0.8224469,0.5124014040149647,0.5124014040149647,ROT,2.1507276539032643,2.140437593228776,"[28, 30]"
TIC 308001339,167.369421,-56.160072,0.82244027,0.2359965210367376,0.2359965210367376,ROT,2.568931654657342,2.527473251932693,[10]
TIC 275191068,10.8905890123761,74.9309053521864,0.82243454,11.604069392221229,11.604069392221229,ROT,2.4150859961015785,2.1208644594957007,[18]
TIC 182947785,124.665757,-38.694223,0.82236576,0.6728410381642496,0.3364205190821248,EA,3.4865028612901505,5.660272153799181,[8]
TIC 81908247,47.8376105149171,63.17760549688,0.82231677,7.674428561022018,7.674428561022018,ROT,12.995818513634797,8.343927301680417,[19]
TIC 304989038,289.560882176843,-50.4467703903232,0.8222726,10.994348924437878,10.994348924437878,ROT,2.1316759044414235,1.1972186706931307,[27]
TIC 189571727,24.1091822561488,40.7289647018361,0.8222488,0.4351041266030477,0.4351041266030477,ROT,14.778271300108232,8.457574451759577,[17]
TIC 115321899,27.438558261237,-36.0669370915256,0.8221554,11.256693214707113,5.628346607353556,ROT,1.352156063808606,2.0374999843514097,[3]
TIC 150264495,272.295953930447,15.9531480503575,0.8220007,1.2160561549177134,1.2160561549177134,ROT,2.1800347193947323,1.5186659088722116,[26]
TIC 27848472,278.631773297363,35.6615247759849,0.8219407,1.8453019771889152,1.8453019771889152,EA,2.138087207498528,1.7682095239739142,"[26, 40]"
TIC 308015513,149.845485503315,27.3977451934073,0.8219015,0.6176343586243053,0.6176343586243053,ROT,13.554705349134126,1.1482344764368595,"[21, 48]"
TIC 149577535,195.793344353079,23.8265583115866,0.8218964,11.416093436276956,5.708046718138478,ROT,1.0911907137389942,2.294201335931998,[49]
TIC 354088435,190.560111014872,48.6644625129792,0.82181823,12.1491212932627,12.1491212932627,ROT,1.486911552045417,2.1666397123899857,[16]
TIC 33742428,93.161693,-16.810086,0.82181317,4.928373966254102,4.928373966254102,ROT,3.884678313654237,2.074878194243345,[6]
TIC 85896197,64.2386341597091,31.3649132448323,0.82177454,11.900550894127775,11.900550894127775,ROT,1.72350755196614,2.026935424181308,"[43, 44]"
TIC 445781186,93.018266843534,56.278718662169,0.82157195,12.755828574202589,12.755828574202589,ROT,2.20565204422948,2.902809228448748,[20]
TIC 29928567,24.755006,-17.950739,0.8213773,0.2268658254400039,0.2268658254400039,ROT,2.0643880482596764,2.095217026958198,"[3, 30]"
TIC 158637987,24.905836463588,-53.5918907887045,0.8211943,0.499408388879178,0.499408388879178,ROT,2.376522910490454,1.6773816990783406,[3]
TIC 434998753,192.364556792758,-60.6991177721845,0.82111067,0.8934139513553596,0.8934139513553596,ROT,1.7229743003155995,2.2591763310109885,[37]
TIC 74159006,83.1942874272831,26.7474141747901,0.82098645,1.488229668369038,0.744114834184519,EA,1.38630950781389,4.291472069815684,"[43, 44, 45]"
TIC 30524971,289.503580728065,31.0218624745807,0.82094437,0.3562559196632872,0.1781279598316436,ROT,2.0324702182666328,3.786808157491268,"[40, 41]"
TIC 26980151,76.3428374877756,19.3341126742373,0.82075626,0.4094842847238309,0.4094842847238309,ROT,5.038178827129152,4.445027831157768,"[43, 44]"
TIC 382118111,208.778072998343,-65.3746272734609,0.82072955,2.4642105475539924,1.2321052737769962,ROT,1.4684989303416556,3.165889635327772,[38]
TIC 7242783,32.6879467733325,-47.5658068441165,0.82055044,4.05327161213775,4.05327161213775,ROT,16.03246111877489,8.049901179258057,"[2, 3, 29]"
TIC 24397860,81.6273258398796,-34.9025835237096,0.8205363,12.583090551160833,12.583090551160833,ROT,1.8454835495883408,2.0158873120663743,[32]
